Date,Borough,Death
2020-03-22,Bronx,22
2020-03-22,Brooklyn,22
2020-03-22,Manhattan,17
2020-03-22,Queens,31
2020-03-22,Staten Island,7
2020-03-23,Bronx,28
2020-03-23,Brooklyn,27
2020-03-23,Manhattan,19
2020-03-23,Queens,40
2020-03-23,Staten Island,11
2020-03-24,Bronx,41
2020-03-24,Brooklyn,42
2020-03-24,Manhattan,30
2020-03-24,Queens,61
2020-03-24,Staten Island,18
2020-03-25,Bronx,60
2020-03-25,Brooklyn,64
2020-03-25,Manhattan,43
2020-03-25,Queens,92
2020-03-25,Staten Island,21
2020-03-26,Bronx,80
2020-03-26,Brooklyn,81
2020-03-26,Manhattan,55
2020-03-26,Queens,123
2020-03-26,Staten Island,26
2020-03-27,Bronx,101.0
2020-03-27,Brooklyn,102.0
2020-03-27,Manhattan,65.0
2020-03-27,Queens,149.0
2020-03-27,Staten Island,33.0
2020-03-28,Bronx,152.0
2020-03-28,Brooklyn,167.0
2020-03-28,Manhattan,93.0
2020-03-28,Queens,216.0
2020-03-28,Staten Island,43.0
2020-03-29,Bronx,188.0
2020-03-29,Brooklyn,185.0
2020-03-29,Manhattan,103.0
2020-03-29,Queens,253.0
2020-03-29,Staten Island,46.0
2020-03-30,Bronx,215.0
2020-03-30,Brooklyn,216.0
2020-03-30,Manhattan,119.0
2020-03-30,Queens,305.0
2020-03-30,Staten Island,58.0
2020-03-31,Bronx,262.0
2020-03-31,Brooklyn,261.0
2020-03-31,Manhattan,129.0
2020-03-31,Queens,376.0
2020-03-31,Staten Island,67.0
2020-04-01,Bronx,360.0
2020-04-01,Brooklyn,328.0
2020-04-01,Manhattan,165.0
2020-04-01,Queens,447.0
2020-04-01,Staten Island,73.0
2020-04-02,Bronx,421.0
2020-04-02,Brooklyn,385.0
2020-04-02,Manhattan,178.0
2020-04-02,Queens,499.0
2020-04-02,Staten Island,78.0
2020-04-03,Bronx,480.0
2020-04-03,Brooklyn,485.0
2020-04-03,Manhattan,215.0
2020-04-03,Queens,590.0
2020-04-03,Staten Island,96.0
